sent0,sent1
Rebusan Daun Pepaya Muda hingga Daun Belimbing Bisa Sembuhkan Tumor dalam 24 Jam, Bahan :-½ pelepah daun pepaya muda
“GELOMBANG KE-2 Kuota Internet Free dari Operator sebesar 50 GB”,Beredar di Whatsapp informasi bahwa operator memberikan kuota internet gratis sebesar 50 GB jika mendaftar dalam sebuah link
Dunkin’ Donuts Bagikan Satu Lusin Donat per Keluarga,Telah beredar pesan berantai yang berisi informasi Dunkin’ Donuts sedang mengadakan promo membagikan selusin donat untuk satu keluarga
Surat Undangan Pelatihan Teknis Fungsional Oleh Pusat Pengembangan Kepegawaian ASN BKN,"A/TU/PusbangpegASN/VIII/2023Lampiran: 1 (satu)lembarPerihal: Undangan Pelatihan Teknis Fungsional Kepegawaian Angkatan 6, 7 dan 8 Tahun 2023Yang terhormatKepala DPMPTSP Kabupaten Jombangdi tempatDengan hormat bersama surat ini kami sampaikan bahwa Pusat Pengembangan Kepegawaian ASN BKN memulai kegiatan Pelatihan untuk Umum pada tahun 2023 dengan di laksanakannya Pelatihan Teknis Fungsional Kepegawaian Angkatan 6, 7 dan 8 Tahun 2023 PNBP Umum"
24 Agustus 2021 ada OTT oleh KPK di Padang,Beredar di Facebook infomasi adanya operasi tangkap tangan KPK yang berlokasi di Padang
KUPON DALAM KOPI TORABIKA,Berdasarkan aduan yang masuk mengenai adanya Kupon Undian Berhadiah didalam kemasan Kopi Torabika ternyata kupon undian tersebut adalah penipuan
Honda Bagi-Bagi All New Scoopy Lewat WhatsApp," Kali ini, Honda diklaim membagikan hadiah sepeda motor All New Scoopy"
PELAKU PENUSUKAN SYEKH ALI JABER SUDAH BEBAS BERSYARAT,"tersangka penusukan Syekh Ali Jaber, AA, sudah bebas bersyarat"
Video Sambo Dan Istri Dieksekusi Di Lembah Kematian Nusakambangan," Dalam video tersebut pula, narator menjelaskan tentang Lembah Nirbaya, Nusakambangan dan napi-napi yang pernah dieksekusi mati di sana"
FIFA Jatuhkan Sanksi Pada PSSI Karena Pemalsuan Dokumen Stadion JIS,“DIJATUHKAN SANKSI BERAT !! PEMALSUAN DOKUMEN JIS KETAHUAN FIFA || PILDUN U-17 BISA BATAL
"KARENA SUDAH USANG, ULAMA ALQURAN BERSAMA BADAN LITBANG DAN DIKLAT KEMENTERIAN AGAMA…","KARENA SUDAH USANG, ULAMA ALQURAN BERSAMA BADAN LITBANG DAN DIKLAT KEMENTERIAN AGAMA SEPAKAT ALQURAN PERLU DIREVISI"
Lion Air Memiliki Utang Kepada Boeing dan Airbus Sebesar Rp614 Triliun,"Salah satu perusahaan maskapai penerbangan asal Indonesia, Lion Air, dikabarkan memiliki utang kepada Boeing dan Airbus hingga mencapai Rp614 triliun"
Vaksin Sinovac Kadaluwarsa 25 Maret 2021 dan Dibuat Sebelum Pandemi, Sebagai rakyat jelata saya menghitung berarti Vaksin Sinovac telah dibuat pada 25 Maret 2019
Tempurung Kelapa Bisa Sembuhkan Gigi Berlubang," Berikut narasinya:""OBAT SAKIT GIGI BERLOBANG ANTI KAMBUHBAHANTempurung kelapa secukupnya"
AM Hendropriyono Dirawat di Singapur, Berikut kutipan narasinya:MUBAHALAH HABIB RS MANJUR !!AM HENDROPRIYONO ATIT !!KINI DIRAWAT DI SINGAPORE
PEMERINTAH UGANDA KUBURKAN PETI MATI KOSONG KORBAN VIRUS CORONA,pemerintah Uganda telah menguburkan sebuah peti mati kosong korban virus corona
PRESENTER UYA KUYA MENINGGAL DUNIA,"PRESENTER UYA KUYA MENINGGAL DUNIABeredar kabar, presenter kondang Uya Kuya meninggal dunia"
Foto Pasca-Banjir di Kulawi Pada 16 Desember 2020," Gambar tersebut diunggah pada 17 Desember 2020 pukul 09:13 waktu setempat, dengan klaim foto pascabanjir di Kulawi, Sigi, Sulawesi Tengah, pada 16 Desember 2020 yang menyapu sekitar 57 rumah dan mengakibatkan seorang pendeta bersama anaknya meninggal"
"Binatang Langka Sangat Berbahaya, Biasanya Di Daun Pohon Mangga"," Berikut kutipan narasinya:Ini adalah binatang yang langka dan sangat berbahaya, biasanya di daun Pohon Mangga"
Foto Kampanye Donald Trump Berbahasa Indonesia,Berikut hasil penelusuran foto kampanye Donald Trump menggunakan bahasa Indonesia
Istri CEO Pfizer Albert Bourla Tewas Akibat Komplikasi Vaksin COVID-19,"Kabar tentang Myriam Bourla istri dari CEO Pfizer Albert Bourla, meninggal dunia akibat komplikasi vaksin COVID-19 beredar di media sosial"
Bank Indonesia Bagi Hadiah Langsung Transfer ke Rekening Pribadi,Telah beredar pesan berantai mengatasnamakan Bank Indonesia mengenai bagi-bagi hadiah langsung transfer ke rekening pribadi
LEDAKAN KASUS CORONA DI KUDUS MENCAPAI 2.210 KASUS,LEDAKAN KASUS CORONA DI KUDUS MENCAPAI 2
PDIP Usul Penutupan Pesantren Di Seluruh Indonesia,Beredar sebuah unggahan yang menampilkan hasil tangkapan layar artikel yang berjudul “PDIP Usul Ke Pemerintah Agar Pesantren Di Tutup Seluruh Indonesia”
Restoran Sederhana Ulang Tahun Ke-15 Membagikan Makanan Gratis ,Beredar melalui Whatsapp pesan yang berisikan informasi Restoran Sederhana tengah merayakan ulang tahun ke-15
"PENYEBAB GEMPA CIANJUR, KARENA CIANJUR IKUT KONTES GAY NASIONAL",Tidak sedikit para pengguna sosial media yang mengkaitkan tentang gempa Cianjur yang terjadi empat hari lalu merupakan imbas Kota Cianjur mengikuti kontes gay nasional tersebut
MENHUB BUDI KARYA KEMBALI POSITIF COVID-19 SETELAH DINYATAKAN SEMBUH,Menteri Perhubungan Budi Karya Sumadi kembali positif virus corona baru (Covid-19) setelah sebelumnya dinyatakan sembuh
"""Hanya dengan Goodbener Anies-Sandi dibuat Jakarta jadi super keren""","""DKI Hanya dgn Goodbener ANIES-SANDI ,Dibuat Jakarta jd super keren ,KEREN KOTANYA HAPPY WARGANYA"
PETANI RAMAI-RAMAI SOBEK SERTIFIKAT TANAH PEMBERIAN JOKOWI,informasi Petani Ramai-Ramai Sobek Sertifikat Tanah Pemberian Jokowi setelah di telusuri informasi tersebut adalah benar
BPJS BERI BANTUAN COVID-19 UNTUK PESERTA SEBESAR RP 4 JUTA,Kabar mengenai adanya pemberian bantuan menjelang Covid-19 bagi masyarakat yang terdaftar dalam jasa pelayanan Badan Penyelenggara Jaminan Sosial (BPJS) beredar luas
Donasi Kaos Oblong Bekas Untuk Tim Medis RSD Wisma Atlet, M Arifin Komando Tugas Gabungan Terpadu (KOGASGABPAD)Beliau memberi informasi kalau team medis di RSD Wisma Atlet sangat membutuhkan donasi kaos oblong bekas (layak pakai & bersih) untuk mereka gunakan setelah melepas APD
FOTO PERBAIKAN KABEL INTERNET BAWAH LAUT INDIEHOME,FOTO PERBAIKAN KABEL INTERNET BAWAH LAUT INDIEHOMEBeredar foto yang diklaim sebagai perbaikan kabel internet bawah laut IndiHome
BERKUMUR DENGAN AIR HANGAT ATAU CUKA DAPAT HILANGKAN VIRUS CORONA YANG MENETAP DI…,Tersebar kabar melalui pesan berantai Whatsapp yang mengatakan virus corona atau Covid-19 dapat dihilangkan dengan minum banyak air dan berkumur dengan air hangat dan garam atau cuka Ketika masih ditenggorokan
VARIAN OMICRON DISEBAR UNTUK MEMAKSA PENDUDUK DI AFRIKA AGAR MAU DIVAKSIN COVID-19," Sebab, mayoritas penduduk Afrika menolak program vaksinasi Covid-19"
Video “PASUKAN IMPORT bukan T.K.A China termaksud “DIDATANGKAN tuk HANYA MEMBELA REZIM”," Inikah yg pada GILIRANNYA kan BERALASAN: Untuk MENGAMANKAN ASSET~ASSETNYA CHINA kala “TERPAKAI tuk PEMBANGUNAN INFRASTRUKTUR di INDONESIA” sementara TIDAK DIBUTUHKAN MENDATANGKAN “PASUKAN LAIN dari LAIN NEGARA” ke INDONESIA, hingga DAPAT DITENGARAI bahwa PASUKAN IMPORT bukan T"
"Artis Iis Dahlia Ditangkap Usai Jual Surat Swab Antigen Serta PCR Palsu, Terancam 6 Tahun Penjara","Akun Facebook Rony Rofi membagikan tautan yang berjudul “Iis Dahlia Ditangkap Usai Jual Surat Swab Antigen Serta PCR Palsu, Terancam 6 Tahun Penjara”"
Bahaya Mengonsumsi Susu dan Pisang Usai Makan Kepiting,"“tolong beritahu seluruh orang yang ada di sebelah kalian, setelah makan kepiting jangan minum susu, juga tidak boleh makan pisang, bisa beracun, semestinya sudah ada di berita, ada anak yang belum sampai rumah sakit sudah meninggal, tidak peduli kalian sesibuk apapun harus memfoward pesan ini, tidak lebih dari semenit kok"
Akun Twitter Investasi Terra Luna," Lebih lanjut, pihak Terra Luna juga mengimbau kepada masyarakat untuk waspada terhadap usaha-usaha penipuan yang mengatasnamakan Terra Luna"
Video Kebakaran PLTU Guddu Pakistan Juli 2022, Video tersebut beredar setelah kebakaran yang terjadi di PLTU Guddu pada 10 Juli 2022
MEMALUKAN!! INDONESIA JADI TERTAWAAN NEGARA ASEAN??,Akun Youtube POLITIK INDONESIA mengunggah video pada tanggal 25 Juli 2023 dengan judul: “MEMALUKAN!! INDONESIA JADI TERTAWAAN NEGARA ASEAN??”
Video Korban Kebakaran Pertamina Penuh Duka Dan Air Mata,“Kebakaran Pertamina menyisakan duka & air mata
Akun Facebook Bupati Halmahera Selatan Usman Sidik,Beredar akun Facebook Bupati Halmahera Selatan Usman Sidik
"Video “antri Pemakaman Covid-19 di Tegal Alur,JKT. Hidup antri, mau dikuburpun antri.”"," Hidup antri, mau dikuburpun antri"
"ESEMKA S2000, MOBIL PRODUK ESEMKA MODEL TERBARU",foto mobil berwarna putih yang disebut sebagai produk ESEMKA model terbaru dengan nama ESEMKA S2000
BENDA BERMAGNET BISA MENEMPEL DI LENGAN PENERIMA VAKSIN CORONA,Pengunggah itu mengeklaim suntikan vaksin corona mengandung microchip hingga akhirnya membuat benda bermagnet menempel
Foto Jejak Kaki Nabi Adam,"Foto yang diklaim jejak Nabi Adam tersebut diunggaha akun Facebook Mamah Dedeh, pada 12 Desember 2020"
Surat Edaran Gubernur Jelang HUT NTB,“GUBERNUR NUSA TENGGARA BARATNTB 01 Desember 2021KepadaYth 1
"""Sri Mulyani Lelang Miras Solusi Defisit Anggaran""","""Menteri Keuangan, Sri Mulyani, berharap agar 50"
Video “Wahai aparat polisi lihatlah anak ini yang merindukan kasih sayang bapaknya. 6 Syuhada yang di makamkan di Mega Mendung”,"com/@wem_pyat) yang diunggah pada tanggal 23 Desember 2020 itu, menampilkan seorang anak balita di sebuah pusara dengan memanggil-manggil ayahnya dan terdapat sosok pria memberikan penjelasan sebagai berikut;“Buat aparat kalian lihat anak ini kehilangan orang tua"
FOTO WARGA ITALIA BUANG UANG KE JALAN KARENA WABAH VIRUS CORONA,FOTO WARGA ITALIA BUANG UANG KE JALAN KARENA WABAH VIRUS CORONA
DI KUWAIT TANAMAN BERBUAH TELOR,video yang menggambarkan sebuah tanaman yang berbuah telur
Pesan Berantai Informasi Vaksin Covid-19 Paling Aman dari Artikel New York Times,"Berikut pesan berantai itu selengkapnya:""Vaksin Covid 19 dari China menduduki 4 ranking teratas vaksin paling aman dari semua vaksin yg sdh beredar"
KTP dan NPWP Ganda Untuk Persiapan 2024, Dalam gambar tersebut juga menarasikan 1 orang yang memiliki 3 KTP dan NPWP berbeda tersebut digunakan untuk persiapan 2024 yang mana merupakan tahun pemilu
KEMUNCULAN OARFISH PERTANDA GEMPA BUMI DAHSYAT BAHKAN TSUNAMI,Tim Jabar Saber Hoaks menerima aduan yang menanyakan kebenaran dari informasi “Kemunculan Oarfish pertanda gempa bumi dahsyat bahkan tsunami” Setelah dilakukan penelusuran informasi tersebut tidak benar [Disinformasi]
Foto “Hati hati kalo kita beli sepatu. Logo palu arit lambang PKI sudah bermuncululan”,33) mengunggah sebuah gambar dengan narasi sebagai berikut:“Hati hati kalo kita beli sepatu
Pilot Selfie Saat Pesawat Sedang Terbang Untuk Meyakinkan Istri,"Akun Twitter @sayid_machmoed mengunggah foto seorang pilot yang berfoto selfie di pesawat yang sedang terbang, dengan penjelasan bahwa hal tersebut dilakukan untuk meyakinkan istri sang pilot bahwa dia sedang bekerja"
Amandemen untuk Menghilangkan Kalimat Syahadat dari Bendera Arab Saudi,"” Di bawah kalimat syahadat itu ada gambar dua belah pedang yang terhunus, menggambarkan Arab Saudi sebagai kerajaan pembela agama Islam"
“Bawang merah yang dikupas bisa menyedot dan membunuh virus dan kuman”,"com/100026656356278) mengunggah foto bawang merah dengan narasi yang mengklaim bahwa bawang merah yang telah dikupas dalam sebuah mangkuk, tempatkan di kamar tidur dan ruang keluarga dapat menyedot virus dan kuman lalu memfokuskannya masuk dalam intra sel, lalu dicerna dalam vakuola dan membunuhnya"
World Economic Forum Menyerukan Larangan Konsumsi Telur,“Makan telur meningkatkan risiko serangan jantung dan stroke”“
"Andalkan Kesaktian Ilmu Mistis Suku Dayak,Indonesia Bisa Lumpuhkan Senjata Nuklir Amerika dan Israel","Akun Youtube Aye Channel mengunggah video dengan judul: “Andalkan Kesaktian Ilmu Mistis Suku Dayak,Indonesia Bisa Lumpuhkan Senjata Nuklir Amerika dan Israel” pada tanggal 28 Mei 2023"
Foto-foto “Orang Mati COVID-19 yang Dilempar ke Laut Tiba di Laut Sabah”,” (di pos)* “Mayat covid19 yang dibuang di laut di India telah tiba di Sabah
HATI-2 ISI NITROGEN UTK BAN DI SPBU,"  Saya serahkan Rp20 rb,  saya dgn tenang naik mobil dan pergi meninggalkan si Mas operator yg mungkin bengong (NITROGEN ASLI TAK PERLU PAKE KOMPRESOR TAPI TABUNG-BOTTLE KHUSUS DG TEKANAN TINGGI)  Belum ada 10 meter saya di jalan, mobil di belakang saya nyalip dgn tekan klakson"
"LINK HOAX ULANG TAHUN KE78 SAUDI AIRLANES, BAGI-BAGI HADIAH RP124 JUTA",Saudia Airlines membagikan uang sebesar Rp
Kota Tarakan Kalimantan Utara Bebas Covid-19,"Telah beredar sebuah unggahan di Facebook oleh akun DrLois yang mengatakan bahwa Kota Tarakan, Kalimantan Utara bebas dari Covid-19"
"Komik Phantom Meramalkan Kemunculan ""China Virus""","Dalam gambar tersebut, karakter Phantom tengah berbincang dengan seorang warga"
Kabar Cak Nun Meninggal Dunia pada 26 Juli 2023,"Akun Twitter tersebut menulis kabar duka Cak Nun meninggal dunia pada hari ini, Rabu (26/7/2023)"
NOMOR WHATSAPP MENGATASNAMAKAN KADIS KELAUTAN & PERIKANAN PROVINSI JAWA BARAT,whatsapp yang mengatasnamakan Kadis Kelautan dan Perikanan Provinsi Jawa Barat Ir
"SEORANG WANITA TERINFEKSI VIRUS CORONA DI KUPANG, NTT",seorang wanita terpapar Virus Corona yang diarahkan ke RS Johanes Kupang
PRESIDEN CHINA TAGIH UTANG ATAU DIBAYAR DENGAN 200 JUTA RAKYATNYA MENETAP DI INDONESIA,Presiden China Xi Jinping tagih uang pembayaran utang atau 200 juta rakyatnya menetap permanen di Indonesia
Negara Akan Ambil Tanah Warga yang Tidak Mengurus AJB Selama 5 Tahun,"Beredar postingan di Facebook oleh akun bernama Oppie Binti Daud, yang menarasikan bahwa Akta Jual Beli (AJB) hanya berlaku 5 tahun sejak 2021, bagi warga yang tidak segera mengurus sertifikatnya maka tanah akan menjadi milik negara"
78 Tentara Korea Utara Masuk Islam," —  78 tentara Korea Utara menerima Islam- Berapa banyak Muslim yang online untuk mengatakan ; MasyaAllah ❤️❤️,” tulis akun Facebook Rian Cardoba, Senin (11/5)"
“Perdana Menteri Jepang Yoshiro Mori Salah Ucap Bahasa Inggris saat Bertemu Obama”,Berikut narasi yang terdapat dalam gambar tersebut:“English is a difficult language for some!Prime Minister Mori was given some basic English conversations training before meets President Barack Obama
CEK ASAM URAT DENGAN MERAPATKAN JARI TANGAN,tips mengecek asam urat dengan menekuk dan merapatkan jari
"RS Premier Bintaro di-Lockdown, 19 Tenaga Medis Positif COVID-19", Pesan berantai tersebut juga menghimbau agar menghindari daerah RS Premier Bintaro
Mumi Dinosaurus Appalachiosaurus Ditemukan di Tennessee,"Meskipun bagaimana mumi dinosaurus bisa tetap utuh begitu lama masih menjadi misteri, para peneliti menunjukkan bahwa teropod mungkin telah tersapu oleh sungai yang banjir dan dibawa ke laut kuno, di mana akhirnya tenggelam ke tidak dengan lantai laut yang terbuka"
ADE ARMANDO AKTING SAKIT UNTUK MENGHINDARI PANGGILAN POLISI,ADE ARMANDO AKTING SAKIT UNTUK MENGHINDARI PANGGILAN POLISI
“pendamping untuk Sertifikasi Halal dalam suatu UMKM itu syaratnya harus GP ANSHOR”," Kalo begitu, kenapa tidak MUI saja yang netral yang kemaren-kemaren dituduh memonopoli sertifikasi halal ? Hayo !” Dan satu lagi, bagaimana jika pelaku UMKM adalah golongan yang dianggap mereka sebagai musuh ? Apakah akan dipersulit pengurusan sertifikasi halalnya, ATAU bayar “lebih” agar mendapatkan sertifikasi halal"
HERU BUDI BONGKAR KORUPSI ANIES DI DEPAN MEDIA,"Anies ketakutan , depan awak media Heru budi bongkar mega korupsi si tikus yamanBREAKING NEWSMAMPUS"
Umat Muslim Memblokade Jalanan di Perancis dengan Salat Berjamaah, Kegiatan salat tersebut tampak memblokade jalanan
WALIKOTA DEPOK BAKAL DIPERIKSA KASUS IJAZAH PALSU, Tersiar kabar : Info Polda Metro Jaya Pemeriksaan Walikota Depok (Mohammad Idris) ke direktorat kriminal umum Polda Metro Jaya
GAMBAR SAMPUL MAJALAH TIME BERJUDUL KILLER OF THE YEAR,sebuah sampul Majalah TIME berjudul “Killer Of The Year”
Video “Kembang api Olimpiade ditampilkan pada saat ini karena Olimpiade Tokyo ditunda karena covid-19”,production) mengunggah sebuah video dengan narasi sebagai berikut:“Kembang api ini disiapkan oleh kota Tokyo untuk upacara pembukaan Olimpiade tahun ini
CEO Mayapada Group Diangkat Menjadi Pembina Brimob,"Beredar kabar lewat media sosial Facebook, mengenai Dato Sri Tahir, yang menjabat sebagai Chief Executive Officer (CEO) Mayapada Group yang diangkat menjadi pembina Brimob"
Panda Merah di Kebun Binatang Toronto Mati usai Divaksin Covid-19,Beredar di media sosial postingan yang menyebut seekor panda merah di kebun binatang Toronto mati setelah divaksin covid-19
“Legenda Hello Kitty berasal dari gadis penderita kanker mulut dan Hello Kiity artinya dalam bahasa China adalah Halo Iblis”,"callukngenn) yang menuliskan klaim yang menyebut bahwa Hello Kitty, karakter kartun populer memiliki legenda yang digambarkan tidak memiliki mulut karena mengingatkan penciptanya pada anak gadisnya yang pernah mengidap kanker mulut"
HUT KE 25 TELKOMSEL BAGI-BAGI KUOTA 50GB GRATIS,"pesan berantai dalam rangka HUT ke 25 Telkomsel, membagi-bagikan kuota 50 giga byte dan kuota unlimited selama sebulan kepada para penggunanya"
Kunyah Daun Sirih Untuk Mengatasi Covid-19,Beredar pesan berantai Whatsapp yang menyatakan bahwa untuk mengatasi Covid-19 ialah dengan mengunyah daun sirih dan menelan air liur sisa dari kunyahan tersebut
VAKSIN COVID-19 DAPAT MEMBUNUH SEL T (SEL KEKEBALAN) DAN MENYEBABKAN KENAIKAN KASUS…,sannya vaksin Covid-19 dapat membunuh sel T serta hal yangmelatar belakangi kenaikan kasus tumor/kanker/sarkoma
"Rudal Rusia Bisa Memilih Target, Gedung Kementerian Pertahanan Ukraina Diratakan Dengan Tiga rudal",🤭🤔Rudal Rusia bisa milih gedung yg akan dirontokkan nah…👆👆👆🤔Gedung Kementerian Pertahanan Ukraina diratakan dengan tiga rudal dalam sekejap waktu
VIRAL FOTO PRIA MENINGGAL KARENA MAKAN DURIAN USAI DIVAKSIN CORONA, Dalam pesan berantai itu tertulis ada foto pria yang disebut meninggal dunia karena makan durian setelah divaksin
Video “Anak kucing di injak Kajadian di Slangor Malaysia”,com/ElectrikIndonesia) mengunggah sebuah video berjudul “Anak kucing di injak” dengan keterangan sebagai berikut:“Sungguh biadab apa yang kamu lakukan…
"""Setelah 8.1 M Dialokasikan Buat Pengadaan Sekarang Dicabuti""", Pohon diambil karena belum dibayar
Ganjar Pranowo Beri Hadiah Fantastis ke Putri Ariani,com/@anugrahselebriti) pada 7 Juli 2023 mengunggah video dengan klaim bahwa Ganjar Pranowo mengundang sekaligus memberikan hadiah fantastis kepada Putri Ariani
Dirjen Kebudayaan Kemendikbud ialah Bos PKI dan Otak dari PKI Baru," Akun Facebook tersebut mengatakan, Hilmar ialah bos PKI dan otak dari PKI baru"
BUNTUT PEMECATAN DR TERAWAN BANYAK DOKTER DIRIKAN IDI TANDINGAN,sejumlah dokter mendirikan Ikatan Dokter Seluruh Indonesia (IDSI) sebagai bentuk solidaritas terhadap Dr Terawan Agus Putranto yang dipecat dari Ikatan Dokter Indonesia (IDI)
Pesan Dari Jusuf Kalla, Tulisan tersebut berjudul “PESAN DARI JUSUF KALLA
Video Padang Bulan Medan Turun Salju," Si pengendara menyebut bahwa salju tengah turun di Padang Bulan, Medan, Sumatera Utara"
Video Cara Mengecek Minyak Goreng Bekas dan Baru, Minyak goreng yang dimasukkan ke dalam kulkas selama dua jam dan menghasilkan buih berarti minyak goreng limbah (minyak goreng bekas)
Swedia Gelar Kejuaraan Seks Eropa,"Unggahan klaim Swedia menggelar kejuaraan seks Eropa berupa tangkapan layar foto bendera Swedia dan pasangan lelaki dan perempuan, di dalamnya terdapat tulisan sebagai berikut"
"“frustasi, gara-gara gak laku, kampanye sepi, akses jalan dihadang oleh mobil oknum dari salah satu paslon”",", akses jalan yang menghubungkan kawasan industri Surya cipta ke arah tol Karawang timur (anggadita Karawang) dihadang oleh Mobil oknum dari salah satu paslon"
SPDP Prabowo Subianto Tersangka Makar,Postingan mengenai Surat Pemberitahuan Dimulainya Penyidikan (SPDP) kepada Prabowo Subianto muncul di media sosial
Gunung Welirang Jawa Timur Erupsi,Gunung Welirang berstatus aktif dengan ketinggian 3
"METODE PENCEGAHAN INFLUENZA DARI KEMENKES : JAGA TENGGOROKAN TETAP LEMBAB, MINUMLAH…","Virus Influenza sedang merebak di Indonesia sampai maret 2020, maka diharapkan masyarakat agar menjaga kelembaban tenggorokan dan memakai masker bila keluar rumah"
“GELOMBANG KE-2 Kuota Internet Free dari Operator sebesar 50 GB”,"com?v=50gb*Harap aktifkan nomor HP anda karena setelah mendaftar pada link diatas, kuota internet akan disubsidikan setelah 30 menit!*🥳🥳🥳TELAH DIBUKA GELOMBANG KE-2 Kuota Internet Free dari Operator!Anda adalah orang yang beruntung jika mendapatkan pesan ini1"
“Pemerintah Resmi Izinkan Sholat Idul Adha 1442H Berjamaah”,Beredar sebuah informasi dengan klaim bahwa pemerintah mengizinkan sholat Idul Adha 1442H secara berjamaah
ANNIVERSARY BANK BRI YANG KE 130 DAPATKAN HADIAH RP 2.000.000,"000Dalam rangka memperingati Hari Ulang Tahun (HUT) ke-130, Bank Rakyat Indonesia (BRI) dikabarkan membagikan hadiah"
PESTA BAKSO NUSANTARA DI STADION GBLA BANDUNG,"beredar broadcast di WhatsApp, mengenai adanyaPESTA BAKSO NUSANTARA25 Apr - 5 Mei 2019@gerbangmerahStadion Gelora Bandung Lautan ApiLEBIH DARI 30 JENIS BAKSO DISAJIKAN DI FESTIVAL BAKSO TERLENGKAPSetelah kami melakukan penelusuran broadcast WA tersebut adalah SALAH"
JUSUF KALLA RESMI BERGABUNG DAN MENDUKUNG PRABOWO-SANDI,Breaking News!!! Bapak JK resmi bergabung dan mendukung Bapak Prabowo dan Bapak Sandiaga Uno Pada Jam 16
Surat Edaran Program Santunan Donasi Menyambut Bulan Suci Ramadhan dari Dinas Sosial Kabupaten Jember,45/2002/DinsosSifat : PentingLampiran : 1(Satu) ekslemparPerihal : Program Santunan Donasi menyambut bulan Suci Ramadhan 1443 H
Foto “INI PENAMPAKKAN MOBIL GHOIB ESEMKA”,JELASIN YANG SEJALAS-JELASNYA YA BONG BIAR CEPAT LAKU TERJUAL MOBIL GHOIB INI…”Foto yang diunggah sumber klaim menampilkan mobil berwarna merah dan terdapat tulisan “ESEMKA” di mobil tersebut
PLN PADAMKAN LISTRIK MULAI JANUARI 2022 AKIBAT KRISIS BATU BARA," Disebut, penyebabnya akibat krisis pasokan batubara"
"GUS YAQUT : KAMI NKRI DAN KAMI TIDAK TAKUT KE PAPUA. TAPI MAAF, ANGGARAN TIDAK ADA…",GUS YAQUT : KAMI NKRI DAN KAMI TIDAK TAKUT KE PAPUA
Sentra Vaksinasi Covid-19 Istora Senayan Terbuka untuk Semua Pemegang KTP,Sentra Vaksinasi Covid-19 Bersama juga akan digelar di kota-kota lain yang membutuhkan percepatan
SWEDIA NOL KASUS POSITIF COVID-19,Swedia tidak ditemukan kasus positif Covid-19
BEREDAR TAMPILAN KARTU NIKAH DIGITAL DENGAN 4 KOLOM FOTO ISTRI,format kartu nikah dengan kolom satu suami dan empat istri
NOMER WA MENGATASNAMAKAN CAMAT LEUWISADENG, Nomor tersebut melakukan komunikasi dengan masyarakat di wilayah Camat Leuwisadeng dengan motif memberikan donasi kepada yayasan
Video “pesawat tempur Su-35 melakukan beberapa keajaiban luar biasa”,"”Di balasannya, akun ini menjawab netizen yang menyatakan itu adalah pesawat miniatur dengan jawaban sebagai berikut:“Itu disebut SU-35"
Warga Garut Jadi Korban Begal,"NARASI:Korban begal wengi Kamari, kajantenan namun di sekitar Pemda arah Jl"
MENEKUK JARI BISA DETEKSI ASAM URAT,gerakan jari yang diklaim bisa mendeteksi asam urat normal atau tidak
DUA PEMUDA DITANGKAP DI SUKABUMI KARENA ROBEK ALQURAN DAN GUNTING SAJADAH,"Dalam video yang beredar itu, setelah ditangkap, dua pemuda yang merupakan saudara kembar ini dihajar dan diikat oleh warga"
FAREL PRAYOGA JUARA ADZAN DI ARAB SAUDI,artis cilik Farel Prayoga menjadi juara adzan di Arab Saudi
STATUS BERLOGO WHATSAPP ADALAH PENIPUAN UNTUK ALIHKAN DATA PRIBADI DAN REKENING…,jika notif status dari Whatsapp pada pengguna aplikasi Whatsapp adalah penipuan
Bill Gates Memiliki Sebagian Besar Lahan Pertanian di Amerika,Beredar sebuah informasi di media sosial yang mengklaim bahwa Bill Gates membeli sebagian besar lahan pertanian di Amerika
Kemenkes RI Adakan Bantuan Biaya STR Bagi Tenaga Kesehatan,sebuah surat edaran yang mengatasnamakan Kementerian Kesehatan membuka kuota bantuan biaya pengurusan dan perpanjangan STR bagi tenaga kesehatan
BENTUK LOGO HALAL BUATAN KEMENAG TERINSPIRASI DARI PENUTUP KEPALA USKUP GEREJA,maksud Menteri Agama Yaqut Cholil Qoumas mengganti label halal terinspirasi dari penutup kepala seorang Uskup Gereja
ELON MUSK MENGATAKAN AKAN MEMBELI META,dia bermaksud untuk membeli perusahaan media sosial Meta
Vaksin mRNA Sebabkan Kematian Pada Lansia, Salah satu pernyataan di dalam video menyebutkan bahwa vaksin mRna untuk Covid-19 dapat menyebabkan seorang lansia diatas 70 tahun meninggal dunia setelah 2 sampai 3 tahun pasca vaksinasi
BANK INDONESIA TAWARKAN INVESTASI ONLINE LEWAT TELEGRAM,"BANK INDONESIA TAWARKAN INVESTASI ONLINE LEWAT TELEGRAMBerdasarkan pantauan Jabar Saber Hoaks, Bank Indonesia (BI) dikabarkan menawarkan jasa investasi secara daring"
“uang kertas kita tahun 1954 ada tulisan Arab”,"com/anwarharum) mengunggah sebuah foto dengan narasi sebagai berikut:“Inilah wajah uang kertas kita tahun 1954…Renungkanlah !”Foto yang diunggah memperlihatkan pecahan 100 rupiah yang di dalamnya memuat tulisan Arab dan juga gambar Presiden RI pertama, Sukarno"
Kunyit dan Madu Bisa Jadi Obat Cacar Monyet,"“Jika Anda menderita cacar monyet, Anda harus mencoba obat ini untuk untuk mengobatinya"
