sent0,sent1,hard_neg
"Debat Pilkada Solo: Bajo Klaim Cagar Budaya Di Solo Banyak Yang Dijual, Ini Faktanya!","Pasangan calon nomor urut 02 di Pilkada Solo, Bagyo Wahono dan Suparjo Fransiskus Xaverius menyebut cagar budaya di Kota Bengawan banyak yang terjual",FADLI ZON DAPAT JATAH MENTERI
Korupsi di Bank Jatim,mantan staf Bank Jatim cabang utama Surabaya diduga korupsi sebanyak Rp 2,PEMILU BELUM DILAKSANAKAN TAPI SUDAH MENANG
Video Pemotor yang Melintas di JLNT Casablanca Tak Ditilang Polisi Karena Punya Black Card,"Beredar sebuah video yang memperlihatkan seorang pengendara motor roda dua yang lolos pemeriksaan dan tilang petugas saat melintasi jalan layang non tol (JLNT) Tanah Abang-Kampung Melayu di Jalan Casablanca, Jakarta Selatan, membuat heboh media sosial",Keributan antara camat dan warga pemilik tanah
Isbat Nikah dan Nikah Baru Masal di Surabaya,terdapat isbat nikah dan nikah masal untuk warga Surabaya,"Virus ini punya obat Hydroxychloroquine, Zinc dan Zithromax"
SRI MULYANI DAN SUAMI NAIK SEPEDA BROMPTON," Unggahan tersebut melampirkan foto dan bertuliskan ""Menkeu Sri Mulyani dan suami, sedang merasakan nikmatnya naik sepeda Brompton",Terapi Uap Panas dan Minyak Kayu Putih Dapat Membunuh Virus Corona
CEO SINOVAC AKAN KAJI KEMBALI PEMBERIAN DOSIS VAKSIN KETIGA,"CEO SINOVAC AKAN KAJI KEMBALI PEMBERIAN DOSIS VAKSIN KETIGABeredar kabar, Chief Exceutive Officer (CEO) Sinovac, Dr",Pasukan Tentara Membantu Melawan Virus Corona di New York
Gubernur Khofifah Ajukan Pengangkatan 6.141 Guru Honorer Lolos Passing Grade Jadi PPPK di tahun 2023, 20 Tahun 2022 tentang Pengadaan PPPK untuk Jabatan Fungsional Guru pada Instansi Daerah,AMIEN RAIS SEBUT JOKOWI SOSOK TERBAIK SELAMANYA BUAT INDONESIA
Dusun Wotawati Jogja “Terlambat” terkena Sinar Matahari,adanya sebuah Dusun yang paling akhir terpapar sinar Matahari,“Seorang bayi perempuan lahir di rs Uruguay dengan tangan tertutup seperti orang berdoa menempel”
"Debat Pilkada Solo: Gibran Sebut Setiap Kelurahan Punya Gamelan, Ini Faktanya!","Pada acara Debat Pilkada Kota Solo Putaran Kedua pada Kamis (3/12/2020), pasangan calon nomor urut 01, Gibran Rakabuming Raka - Teguh Prakosa mengatakan setiap kelurahan di Kota Bengawan ini mempunyai gamelan","Kewenangan Memberikan Label Halal Tidak Melalui MUI Lagi, Tapi oleh PT. Surveyor Indonesia"
Selebgram Satria Mahatir Bebas Dari Bui," Pengunggah juga memberi keterangan,”Satria Mahatir “The Real Cogil” Bebas”",PABRIK GULA MERAH PALSU DI BANYUMAS TERUNGKAP
"Pilkada Sleman, DWS: Hampir Setengah APBD buat Belanja Pegawai?","Dalam rangka mewujudkannya, kata Danang, perlu ada kolaborasi dari multi-pemangku kepentingan karena menurutnya APBD Sleman terbatas, dan hampir setengahnya digunakan untuk belanja pegawai",Video Penampakan Makam Nabi Muhammad SAW
"ANAK TUKANG WARUNG NASI DAPAT BEASISWA KE TUNISIA, DITOLAK MINTA BIAYA TIKET OLEH…","ANAK TUKANG WARUNG NASI DAPAT BEASISWA KE TUNISIA, DITOLAK MINTA BIAYA TIKET OLEH PEMDA PURWAKARTA DAN PEMPROV JAWA BARAT",“Ternyata ini gunanya Wapres Ulama Jarang Ngomong Pas Sekali Ngomong NGAJAK ORANG NONTON PAHA”
"ANAK TUKANG WARUNG NASI DAPAT BEASISWA KE TUNISIA, DITOLAK MINTA BIAYA TIKET OLEH…", Padahal dirinya membutuhkan biaya berangkat ke Tunisia usai mendapat beasiswa,Pasukan Tentara Membantu Melawan Virus Corona di New York
SRI MULYANI DAN SUAMI NAIK SEPEDA BROMPTON,VIRAL SRI MULYANI DAN SUAMI NAIK SEPEDA BROMPTON,“BAHKAN JARI HABIB RIZIEQ SHIHAB PUN TAU MANA PASLON YANG WAJIB DIPILIH COBLOS NOMOR 01 PRADI-AFIFAH”
"""Pare Tidak Serta-merta Bisa Menyembuhkan Kanker""","Air panas pare tsb akan mengeluarkan suatu zat anti kanker, ini adalah sebuah perkembangan baru didalam dunia kedokteran yg bermanfaat dalam mengobati kanker",Keturunan Tiongkok Dilarang Jadi Polisi
MAHATIR MOHAMAD MINTA PRESIDEN PHILIPINA JANGAN MAU BERUTANG KEPADA NEGARA CHINA,"menerima aduan yang menanyakan kebanaran dari informasi yang beredar di media sosial, Mahatir Mohammad (92 tahun) minta kepada Presiden Philipina (Rodrigo Duterte) agar Negara Philipina JANGAN MAU BERUTANG KEPADA NEGARA CHINA",“GERD menekan jantung hingga tidak berfungsi”
Video Pria Mengapung di Bawah Jembatan Suramadu,Beredar video Pria terlihat mengapung di bawah Jembatan Suramadu,Ratu Elizabeth Pesan 80 Jersey Cristiano Ronaldo
Kecelakaan di Jalur Klemuk Kota Batu, Unggahan tersebut memberikan keterangan   terdapat 3 korban meninggal akibat kecelakaan di Jalur Klemuk Kota Batu,“Corona Virus adalah BOHONG. bukan dari Virus tapi dari Bakteri. semua ini diketahui oleh negara Itali”
Philadelpia menjadi Sarang Pecandu Narkoba,kota Philadelphia Amerika Serikat tampak banyak “zombie” yang berkeliaran,Video Padang Bulan Medan Turun Salju
Bendera Indonesia Terbalik di Acara Sea Games, Ini negara Asean ga kenal bendera Indonesia apa ya padahal tetangga”,Minyak Kayu Putih Dapat Memutihkan ketiak
Benarkah pemerintahan Presiden Jokowi sudah memperkuat pertahanan dan keamanan di luar kawasan Pulau Jawa?,"Calon presiden nomor 1, Joko Widodo, mengatakan pemerintahannya sudah memperkuat pertahanan dan keamanan di luar kawasan Pulau Jawa",Video FPI Diusir dari Kota Semarang di Tengah Rencana Safari Rizieq Shihab ke Sejumlah Daerah Tahun 2020
"BERHASIL KEMBANGKAN BENIH PADI, KEPALA DESA INI MALAH JADI TERSANGKA","Berdasarkan hasil penelusuran Tim Jabar Saber Hoaks Kepala Desa Meunasah Rayeuk, Kecamatan Nisam, Aceh Utara, Aceh, Munirwan ditetapkan sebagai tersangka karena diduga memproduksi dan mengedarkan benih padi unggulan bibit padi jenis IF8 disebut belum disertifikasi atau berlabel",WhatsApp Mengubah Pengaturan Privasi Tanpa Pemberitahuan pada Mei 2021
Tidak Ada Manfaat Menggunakan Metode Menggoyangkan Tangki Saat Pengisian Bensin,Terdapat artikel yang menuliskan metode baru pengisian bensin yang membuat pembaca bias makna,MEMIJAT BAGIAN MUKA DAN TELINGA PADA ANAK DAPAT MENGATASI SPEECH DELAY
KADISDIK INSTTRUKSIKAN SEKOLAH TETAP WASPADA TERHADAP PENCULIKAN ANAK DENGAN CARA…,menerima aduan yang  menanyakan kebenaran dari informasi Kadisdik Insttruksikan Sekolah Tetap Waspada Terhadap Penculikan Anak Dengan Cara Menghipnotis,VIDEO ROMBONGAN FPI BERMOTOR SAAT DEMONSTRASI 13 OKTOBER 2020
Bore Up Mesin Merupakan Jenis Pelanggaran Hukum,bore up mesin motor merupakan salah satu bentuk pelanggaran hukum,“Ancaman Balik Vladimir Putin Untuk FIFA”
Air Rebusan Mie Instan dapat Suburkan Tanaman,"bekas air rebusan mie instan, dapat digunakan sebagai salah satu bahan penyubur tanaman",KEJADIAN PENCULIKAN ANAK DALAM TERAS RUMAH DI PERUMAHAN WISMA ASRI BEKASI UTARA
Pembangunan Jembatan Layang Flyover Krian Diperkirakan Rampung Desember 2023,Beredar unggahan di media sosial facebook melalui akun Info Jalanan yang diunggah pada 5 Mei 2023 memuat informasi tentang proyek pembangunan Jembatan Layang atau Flyover Krian ditargetkan selesai pada bulan Desember 2023 dan sampai saat ini sudah mencapai 60 persen proses pengerjaan,Tukul Arwana Meninggal Dunia
"Kereta Tangki Pertamina Anjlok di Perlintasan Ketegan, Sidoarjo"," Video tersebut diunggah pada Sabtu, 8 April 2023 dan dibeeri keterangan bahwa kejadian tersebut terjadi di Ketegan, Sepanjang, Sidoarjo",BEREDAR UANG PECAHAN RP 200.000
Pemilik Mobil Naik di Atas Kap untuk Menggagalkan Aksi Pencurian di Blitar, Dalam videonya tampak seorang pria berbaju putih yang berusaha menutup kaca dengan terbaring diatas mobilnya,“bocah-bocah Nigeria dipanggang sampai mati”
Ikan Sapu-Sapu Invasi Danau Tempe, Video tersebut tampak direkam oleh seorang nelayan yang mengeluhkan atas tertangkapnya puluhan Ikan Sapu-Sapu,Putusan Mahkamah Konstitusi Terkait Pilkada Sampang
Warga Usir Pendemo Rocky Gerung,adanya Demo yang dibubarkan oleh warga di rumah Rocky Gerung (Pengamat Politik),"BOCORAN RAPAT ISTANA, COVID-19 SENGAJA DIMAINKAN UNTUK HABISI PRIBUMI"
BIAYAI PEMINDAHAN IBU KOTA 466T JOKOWI USULKAN JUAL TANAH NEGARA DI KALTIM,"menanyakan kebenaran screeshoot berita dengan judul Biayai Pemindahan Ibu Kota Rp466T, Jokowi Usul Jual Tanah Negara di Kaltim",Dokter di Palembang Meninggal Dunia Usai Disuntik Covid-19
Korban Kebakaran Hawaii Menyelamatkan Diri di Laut, Pada rekaman video tersebut tampak awan sangat gelap dan kepulan asap memadati sekitar pesisir pantai,Pertarungan Pilpres 2024 Mengerucut Dua Pasang Calon
"Debat Pilkada Solo: Bajo Klaim Cagar Budaya Di Solo Banyak Yang Dijual, Ini Faktanya!",Pernyataan tersebut disampaikan langsung oleh Suparjo dalam acara Debat Pilkada Solo Putaran Kedua yang digelar oleh KPU Solo pada Kamis (3/12/2020),KATA DR LOIS ADA PESTISIDA YANG DISEMPROT DARI UDARA DAN JANGAN PANIK KALAU DEMAM
Pemerintah Kota Surabaya Kurangi Durasi Lampu Merah,Pemerintah Kota Surabaya menekan polusi udara dengan mengurangi durasi lampu lalu lintas,RSCM Praktekkan Penyedotan Plug (Sumbatan) Vena/Saluran Darah
"Tambangan Perahu Megaluh, Jombang Hanyut", Perahu tersebut membawa mobil beserta para penumpang,Video “ITALIA bergema takbir aamiin”
Blok Rokan dan Blok Mahakam Dikelola Indonesia,Capres nomor urut 01 Joko Widodo (Jokowi) mengatakan bahwa blok minyak Rokan dan blok Mahakam telah dikelola oleh Indonesia,Benarkah Ratu Elizabeth II Keturunan Nabi Muhammad?
"Benarkah pernyataan Calon Presiden Joko Widodo bahwa Pemerintah Indonesia telah menguasai sumber daya alam strategis seperti Blok Mahakam, Blok Rokan dan Freeport?"," Hal itu dinyatakan Jokowi dalam debat capres putaran ke-5 di Hotel Sultan, Sabtu 13 April 2019","Jumping Urine, Saran Buat Semua Laki-Laki Usia 50, Apabila Mengalami Kesulitan Buang Air Seni "
VIRAL VIDEO KELOMPOK BERMOTOR DIDUGA TAWURAN DI JALAN SETIABUDI,"[KLARIFIKASI FAKTA]Berdasarkan aduan yang masuk melalui admin Instagram Jabar Saber Hoaks, beredar video bentrokan kelompok diduga geng motor tawuran di Jalan Setiabudi Bandung",Menko Luhut Cium Kaki Prabowo jika Terpilih Jadi Presiden
Bentrok Antar Perguruan Silat di Lamongan,"adanya bentrok antar perguran silat yang terjadi di Desa Sunggelebak, Kecamatan Karanggeneng, Kabupaten Lamongan","Beredar Video Koin PSI yang Menyandang Logo PKI, Ini Faktanya"
Keaseang Menjadi Ketua Umum PSI (Partai Solidaritas Indonesia)," Video tersebut beredar di TikTok pada 25 September 2023 dengan keterangan ‘Seruu, pidato perdana ketum PSI Kaesang Pangarep’",WANITA HAID TIDAK BOLEH DIPIJAT
"Benarkah pernyataan Calon Presiden Joko Widodo bahwa Pemerintah Indonesia telah menguasai sumber daya alam strategis seperti Blok Mahakam, Blok Rokan dan Freeport?","Calon presiden Joko Widodo mengklaim bahwa Pemerintah Indonesia kini telah menguasai sumber daya alam strategis seperti Blok Mahakam, Blok Rokan dan Freeport",PEREMPUAN DIHUKUM MATI KARENA ANCAM TEMBAK JOKOWI
Mobil Google Maps Tersesat di Perkebunan Tebu di Malang,Beredar sebuah video di TikTok memperlihatkan sebuah mobil hitam milik Google Maps sedang ditarik oleh warga menggunakan tali,“Profesor Dr Tasuku Honjo mengatakan bahwa virus korona itu tidak alami. Cina telah membuatnya”
Bayi di Gresik Meninggal Dunia Usai Dengar Ledakan Petasan,Beredar sebuah kabar tentang meninggalnya bayi di Gresik Jawa Timur setelah mendengar ledakan petasan,VIDEO SEORANG PRIA DIINGGRIS MEMECAHKAN KACA MASJID
"CORONA MELANDA, BEBERAPA DISPENDA KOTA/KABUPATEN BERIKAN INSENTIF TAGIHAN PBB",Beredar kabar Dinas Pendapatan Daerah di beberapa kota/kabupaten memberikan insentif tagihan Pajak Bumi dan Bangunan (PBB),"""Yang Terindikasi Cerdas Memang Dukung Hastag #2019GantiPresident"""
PEMERINTAH DAN DPR SEPAKAT PERMUDAH PEMBEBASAN KORUPTOR,"menanyakan kebenaran berita dengan judul Pemerintah dan DPR sepakat permudah pembebasan Koruptor, setelah dilakukan penelusuran oleh tim   berita tersebut benar",Tautan Registrasi Program Kartu Prakerja
Benarkah Polisi Menurunkan Bendera-bendera Peserta Piala Dunia 2018 di Kabupaten Sorong?, Polisi himbau warga Lain turunkan sendiri benderanya masing,Atlet Rugby Jordan Michallet Meninggal karena Vaksin Covid-19
Ribuan WNI pindah WN Singapura,riburan warga Negara Indonesia pindah menjadi warga Negara Singapura,Ustadz Yusuf Mansur Ajarkan Mencuri di Mall
VIDEO KERUSUHAN DI DIPATIUKUR BANDUNG,kerusuhan atau bentrokan di daerah Dipatiukur Bandung,Pengasuh Pondok Pesantren Darul Falah KH Abd Rohman Qomari Meninggal Dunia
Seorang Wanita Siram Air Kencing ke Rumah Tetangga,sebuah ibu-ibu sedang membuang sesuatu,MENKES BUDI GUNADI SADIKIN MENYATAKAN DIABETES MUDAH DIOBATI
Bayi Meninggal Akibat Mendengar Petasan,seorang bayi yang meninggal akibat mendengarkan petasan di Gresik,WHATSAPP YANG MEMBERIKAN HADIAH MOBIL
Masriah Halangi Pengantaran Material ke Rumah Tetangga," Informasi tersebut diunggah pada 25 Agustus 2023 dengan keterangan ‘Masriah, si penyiram tinja berulah lagi",“Olimpiade Tokyo 2021 DIBATALKAN”
Tes Dehidrasi dengan Cubit Kulit, Jika kulit yang dicubit tidak langsung turun maka terindikasi dehidrasi,Gambar “Inilah Cerita Dari Tragedi Satelit Indonesia PALAPA B2 Tahun 1984”
"Kebakaran Jati Peteng,","kobaran api membakar sebuah tempat yang diketahui di daerah Tuban Jawa Timur berdasarkan keterangan ‘pray for Jati Peteng, Jenu, Tuban’",Amandemen untuk Menghilangkan Kalimat Syahadat dari Bendera Arab Saudi
Warga Trawas Mojokerto Temukan Sepeda Motor di Persawahan," Tampak dalam foto unggahan, sepeda tersebut tergeletak di area sawah dan penuh lumpur",Kemenag Menghapus Kurikulum Pendidikan Agama di Madrasah Kata Khilafah dan Jihad
Prabowo Sebut Kekayaan RI Banyak Berada di Luar Negeri,"Prabowo tidak menjelaskan maksud kekayaan itu apakah kekayaan sumber daya alam banyak mengalir ke luar negeri, atau dari potensi pajak warga Indonesia yang banyak berada di luar negeri","600 Orang Terjangkit Difteri, Dinkes Imunisasi Masal Desember Mendatang"
"KEMENTERIAN LHK BAGIKAN BIBIT TANAMAN SECARA CUMA-CUMA, DENGAN SYARAT TIDAK DIPERJUAL…",Kementerian Lingkungan Hidup dan Kehutanan (KLHK) menggelar program pembagian bibit tanaman gratis,"Artikel Sangat Berharga: Pengakuan Jujur Jusuf Kalla, Perjuangan Moral Jokowi"
Tes Dehidrasi dengan Cubit Kulit,cara tes tubuh apakah dehidrasi atau tidak,"Dirut Garuda, Ari Askhara adalah Anggota BIN"
"Pilkada Sleman, DWS: Hampir Setengah APBD buat Belanja Pegawai?"," Dalam debat kali ini, paslon bupati dan wakil bupati nomor 1 Danang Wicaksana Sulistya - Raden Agus Choliq menyinggung soal Anggaran Pendapatan dan Belanja Daerah (APBD) Sleman saat menyampaikan visi dan misinya di segmen satu",Putusan Mahkamah Agung Republik Indonesia Nomor 31 P/HUM/2022 menyatakan Pandemi Covid-19 telah berakhir
"Lama Balas Pesan, Badan Kekasih Disetrika","foto siaran berita di televisi dengan headline ‘Lama balas pesan, badan kekasih disetrika’",Bayi Berumur 3 Hari Bisa Menyebut Nama “Allah”
"Debat Pilkada Solo: Gibran Sebut Setiap Kelurahan Punya Gamelan, Ini Faktanya!"," Itu nanti yang akan memerangi kejelakan-kejelekan dan tindakan-tindakan intoleransi di Kota Solo,"" terang Gibran",VOICE NOTE DI WHATSAPP PENCULIK MENGGUNAKAN MOBIL MERAH
INFORMASI RENCANA KENAIKAN IURAN PESERTA BPJS,Setelah Tim Jabar Saber Hoaks melakukan penelusuran ada 4 fakta dari Rencana Kenaikan Iuran Peserta BPJS sebagaimana di kutip dari media https://www,Lagu “Ojo Dibandingke” Dinyanyikan Di Luar Negeri
Warga Keturunan Tionghoa Tidak Boleh Memiliki Aset di Yogyakarta, Sejak saat itu Sultan Hamengkubuwono ke-9 mencabut hak atas kepemilikan aset tanah properti milik kepada orang-orang Tionghoa,KERAJAAN ARAB SAUDI TETAPKAN: HRS KETURUNAN RASULULLAH SAW KE-38
MITRA OJEK ONLINE DISERANG HOAKS RACUNI PESANAN MAKANAN KONSUMEN,Beredar informasi yang disebar melalui pesan berantai whatsapp bahwa mitra ojek online meracuni pesanan makanan milik konsumen,Johnny Plate Minta Ampun Takut Dipenjara
"Debat Pilkada Solo: Gibran Sebut Setiap Kelurahan Punya Gamelan, Ini Faktanya!","Kata Gibran, gamelan tersebut digunakan Pemerintah Kota (Pemkot) Solo sebagai bentuk media memperkenalkan budaya ke anak muda",FOTO PENAMPAKAN BADAN SETELAH TERSAMBAR PETIR
Seleksi CPNS dibuka Tiga Periode," Pengunggah memberi keterangan   seleksi periode I dibuka pada maret 2024, diikuti periode II pada Juni dan periode III pada Agustus 2024",VIDEO SHALAT BERJAMAAH SAAT PIALA DUNIA 2022 DI QATAR
" Benar, Cabup Barru Malkan Amin Meninggal Dunia di RSUP Wahidin Sudirohusodo","id – Asosiasi Media Siber Indonesia (AMSI) Sulsel, kabar meninggalnya Malkan Amin beredar bersama postingan screenshot dokumen kematian",“akan ada penyemprotan racun untuk virus corona dari malaysia dan singapore melalui udara”
PELAKU PEMBAKAR HUTAN MENGAKU DIBAYAR PENGUSAHA SEBESAR RP. 600 RIBU,menanyakan kebenaran berita dari TV One mengenai pelaku pembakaran Hutan yang tertangkap dan mengaku dibayar pengusaha sebesar Rp,FOTO MOBIL YANG TERLIBAT KECELAKAAN DI TOL PURBALEUNYI
Guru di Bekasi Dipecat Lewat Pesan Grup Whatsapp Gara-Gara Beda Pilihan di Pilkada Jabar,Pemberhentian guru itu hanya karena beda pilihan dalam pagelaran Pilkada serentak 2018 Pemilihan Gubernur-Wakil Gubernur Jawa Barat dan Wali Kota-Wakil Wali Kota Bekasi,"“Ingin Melawan Tapi Takut Dipenjara, Driver Shopee Food Pasrah Jadi Korban Begal”"
SINGKATAN DEPOK : DE EERSTE PROTESTANTSE ORGANISATIE VAN CHRISTENEN,"Menanyakan kebenaran dari singkatan Depok yaitu De Eerste Protestantse Organisatie Van Christenen, setelah tim   melakukan penelusuran kabar tersebut benar",Pengumuman CPNS Kemenkumham Beserta Link Pendaftarannya
Klarifikasi Dinas Bina Marga DKI Jakarta Terkait Anggaran Rp56 Miliar Untuk Bangun 3 JPO,Sempat beredar isu Pemerintah Provinsi (Pemprov) DKI Jakarta menganggarkan Rp56 miliar untuk pembangunan tiga Jembatan Penyeberangan Orang (JPO),Petugas KPPS Bandung Meninggal Diracun
Prabowo Sebut Kekayaan RI Banyak Berada di Luar Negeri,"""Kita akan mengamankan semua sumber-sumber ekonomi bangsa Indonesia",Video Sebut Bocoran Jadwal Varian Covid-19 Diluncurkan
Penipuan List Order di Tiktok Melalui Pesan Whatsapp,Beredar unggahan di media sosial Instagram @indozonetech yang memuat pesan di whatsaapp dengan mengirimkan file list order berekstensi Pdf,FIFA BAGIKAN PAKET DATA 50 GB GRATIS NONTON PIALA DUNIA
"""Pare Tidak Serta-merta Bisa Menyembuhkan Kanker""","Pare dapat membunuh sel kanker!Potong 2-3 irisan tipis pare taruh dalam gelas,tuang air panas, air akan menjadi alkalin(basa),minum setiap hari,terhadap siapapun akan bermanfaat",KETUA KPU ARIEF BUDIMAN UMUMKAN DI SEMUA DAERAH PRABOWO UNGGUL MUTLAK
CEO SINOVAC AKAN KAJI KEMBALI PEMBERIAN DOSIS VAKSIN KETIGA, Yin Weidong akan mengkaji kembali pemberian dosis ketiga vaksin Sinovac,MCDONALD'S DITUTUP 3 NEGARA KARENA MENGGUNAKAN DAGING MANUSIA
Tes Dehidrasi dengan Cubit Kulit," Sebaliknya, jika kulit yang dicubit langsung turun maka tidak dehidrasi",ROCKY GERUNG MENDADAK USTADZ
Pendakian Kawah Ijen dibuka 12 Agustus 2023, Kabar tersebut disebarkan oleh akun TikTok Paket Wisata Banyuwangi pada 9 Agustus 2023,"“Holland memasang 600 jembatan seperti ini, untuk membantu hewan menyeberangi jalan”"
Jokowi: Kapal Nelayan di Bawah 10 GT Tidak Perlu Izin," Hanya yang 30 GT yang pakai izin ke KKP,"" tambah Jokowi","IKAN LAUT DARI PERAIRAN BAGAN, PERCUT MEDAN DAN SEKITARNYA TERCEMARI OLEH BANGKAI…"
"Paus Terdampar di Pantai Lepang Klungkung, Bali",seekor paus terdampar di bibir pantai,Judul berita “H. Yakut : Rencana Banser Uji Nyali Ke Papua Di Batalkan Karena Hanya Tersisa 4 Orang.” di tangkapan layar hasil suntingan
Kecelakaan Rombongan Bus SMAN 1 Sidoarjo,kecelakaan Rombongan Bus SMAN 1 Sidoarjo dengan korban 1 meninggal dunia,Twitter Bill Gates Telah Ditangguhkan oleh Elon Musk
Penganiayaan di Dalam Bus," Video tersebut diunggah dengan keterangan ‘merasa diikuti sampai dalam bus, wanita berhijab ini menjaga jarak",Prof. Taruna Ikrar : “Ahok termasuk pemimpin di Indonesia yang perlu diobservasi otaknya.”
Presiden Jokowi Teken Peraturan Pemerintah yang Memuat Menteri-Walikota Tidak Perlu Mundur untuk Maju dalam Kontestasi Pilpres," 53 Tahun 2023 tentang Peraturan Pemerintah (PP) Nomor 53 Tahun 2023 tentang Perubahan Atas Peraturan Pemerintah Nomor 32 Tahun 2018 tentang Tata Cara Pengunduran Diri Dalam Pencalonan Anggota Dewan Perwakilan Rakyat, Anggota Dewan Perwakilan Daerah, Anggota Dewan Perwakilan Rakyat Daerah, Presiden dan Wakil Presiden, Permintaan Izin Dalam Pencalonan Presiden dan Wakil Presiden, Serta Cuti Dalam Pelaksanaan Kampanye Pemilihan Umum",Kedinkes Semarang Menyebar Undangan Rapat Kerja Peningkatan Kinerja Tenaga Kesehatan via WhatsApp
Ular di posko PMI Bojonegoro,seekor ular berukuran besar nampak di bawah lantai berair,Jawaharlal Nehru University Menyediakan Akomodasi Asrama Gratis Untuk Pelajar Muslim J&K
Prabowo Sebut Kekayaan RI Banyak Berada di Luar Negeri," Masalah pokok bangsa kita adalah bahwa kekayaan kita tidak tinggal di republik kita,"" kata Prabowo",“Ternyata Media Jepang jauh lebih fair ketimbang Media Nasional”
Kebakaran di Kawasan Gunung Bromo, Dalam video terlihat asap hitam dengan kobaran api berwarna orenye di lereng bukit,Video “cara pertolongan Emergency Covid 19”
Enam Orang Pembegal Kabur Berkat Korek Api Korban,"terdapat enam orang pembegal di kota Malang, Jawa Timur yang kabur saat korban menodongkan korek api",SURAT REKOMENDASI INVESTASI MENGATASNAMAKAN OJK
Pengisian BBM Gratis di Bulan Agustus yang Bernama Agus,adanya pengisian Bahan Bakar Minyak (BBM) gratis untuk yang bernama Agus di Bulan Agustus,Indomaret Bagikan 5 Ribu Voucher Gratis Senilai Rp2 Juta
Lahan Hutan Prabowo Ratusan Ribu Hektare," Kata Jokowi dalam debat capres kedua di Hotel Sultan, Jakarta, Minggu 17 Februari 2019, Prabowo memiliki lahan 220 ribu hektare di Kalimantan Timur dan dan sebanyak 120 ribu hektare di Aceh","PUJI PIDATO PRABOWO, ERDOGAN : SOEKARNO BARU AKAN MUNCUL DI INDONESIA"
"RI IMPOR 268 TON CANGKUL, SETARA 1,5 KALI LAPANGAN GBK LOH","RI Impor 268 Ton Cangkul, yang setara dengan 1,5 kali lapangan GBK",Ustadz Maaher Meninggal Karena Disuntik Paksa di Penjara
Perubahan Rute Praktik SIM C," Informasi tersebut beredar di TikTok yang diunggah pada 7 Agustus 2023 dengan keterangan ‘rute ujian praktik SIM C dirubah, zig-zag dan angka 8 dihapus’","“WHO : Merokok, Salah satu solusi pencegahan Covid-19.”"
Pemutihan Pajak di Jawa Timur,poster Pembebasan Pajak Daerah 2023 khusus warga Jawa Timur,VIDEO PERTANDINGAN PIALA DUNIA QATAR BERHENTI KARENA SUARA AZAN
Masriah Halangi Pengantaran Material ke Rumah Tetangga," Kali ini beliau menghalang-halangi pengantaran material ke rumah tetangganya, Wiwik, yang hendak direnovasi",Dokter Italia Temukan Penyebab Covid-19 dari Bakteri Terpapar 5G
"Kebakaran di Desa Kajar, Bondowoso"," Dalam keterangan video tersebut menjelaskan bahwa kebakaran terjadi di Desa Kajar, RT 4, Kecamatan Tenggarang, Kabupaten Bondowoso",Mendeteksi Stroke dengan Menggerakkan Jari Tangan
SURVEI: KEBANYAKAN MASYARAKAT TIDAK MAU JOKOWI JADI PRESIDEN LAGI.,Kebanyakan Masyarakat tidak mau Jokowi jadi Presiden lagi,ERICK TOHIR SEBUT BANGSA INDONESIA BANYAK YANG BERMENTAL PENGHIANAT TRANSPORT DAN…
Peserta KKN Universitas Negeri Padang Diusir oleh Warga,cuplikan layar berupa informasi sekelompok peserta KKN diusir oleh warga setelah membuat konten menyindir fasilitas lokasi KKN,VANESSA ANGEL PINDAH AGAMA
Warga Trawas Mojokerto Temukan Sepeda Motor di Persawahan,"Beredar kabar ditemukannya sebuah sepeda motor di persawahan di daerah Trawas, Mojokerto",Pengasuh Pondok Pesantren Darul Falah KH Abd Rohman Qomari Meninggal Dunia
Penipuan List Order di Tiktok Melalui Pesan Whatsapp," Tetapi, customer tersebut meminta nomor whatsapp lantas memberikan file berekstensi pdf dengan judul “list order”",Mahasiswa UNY Positif Corona
"Pilkada Sleman, Sri: Merapi Siaga, Warga Rentan Sudah Diungsikan?","Dalam debat Pilkada Sleman 2020 putaran ketiga, Kamis (12/11/2020) malam, di segmen tiga paslon bupati dan wakil bupati nomor 3 Sri Muslimatun - Amin Purnama menjawab pertanyaan soal bentuk kepedulian terhadap pengungsi Gunung Merapi, terutama lansia, balita, dan perempuan",“Ternyata Klaster penyebar Covid-19 terbanyak Indonesia adalah 10.000 lebih pendeta GBI & GPIB”
"Mahalini, Ziva, dan Anggi Masuk Nominasi Penyanyi Solo Wanita Terbaik AMI","Mahalini, Ziva, dan Anggi masuk nominasi penyanyi solo terbaik AMI","""Es Krim Dengan Parasetamol"" | [DISINFOMATION] ""Ice Cream With Paracetamol"""
"Dieng Suhu Minus 3,5 derajat Celcius"," Estimasi turunnya suhu udara mencapai 0,6 derajat celcius setiap 100 mdpl (meter diatas permukaan laut-red)",Fenomena Albelian selama Juli-Agustus 2022
"BERHASIL KEMBANGKAN BENIH PADI, KEPALA DESA INI MALAH JADI TERSANGKA","informasi berhasil kembangkan benih padi, kepala desa ini malah jadi tersangka",Batas Penukaran Tabung Biru Elpiji Menjadi Bright Gas Dibatasi Hingga Akhir Tahun
